CustomerID,LoanAmount,GeoAccuracy,LeadResponseTime,LeadSource,TransactionHistory,BehavioralScore,LeadConversion,DisbursalAmount,InquiryTime,ProductType,ChannelType,NeedsPhysicalVerification,FastResponse
1,171958,0.527174049,16,Branch,11,0.579528204,0,471526,1/30/2024 0:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
2,196867,0.509265617,4,Branch,2,0.345877487,1,279324,1/30/2024 11:00,PersonalLoan,MainBranch,TRUE,TRUE
3,181932,0.571810689,12,Branch,31,0.852150084,0,73702,1/22/2024 22:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
4,415838,0.828974743,49,Online,38,0.181816478,0,433539,1/17/2024 1:00,ConsumerDurables,MainBranch,FALSE,FALSE
5,309178,0.863738539,33,Referral,26,0.279988064,0,412134,1/29/2024 14:00,ConsumerDurables,MainBranch,FALSE,FALSE
6,169879,0.893252857,22,Branch,27,0.177254677,0,378023,1/20/2024 2:00,PersonalLoan,MainBranch,FALSE,FALSE
7,160268,0.621854106,18,Branch,46,0.56382278,0,33704,1/5/2024 0:00,PersonalLoan,LocalSpoke,TRUE,FALSE
8,257892,0.652947407,54,Referral,46,0.111747184,0,321941,1/1/2024 13:00,ConsumerDurables,MainBranch,TRUE,FALSE
9,104886,0.741567323,48,Branch,31,0.189357005,0,127438,1/7/2024 10:00,PersonalLoan,LocalSpoke,TRUE,FALSE
10,187337,0.531591548,33,Online,24,0.678489943,0,305283,1/29/2024 5:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
11,480410,0.805570762,27,Branch,13,0.074414527,0,143865,1/26/2024 15:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
12,137498,0.991867517,42,Referral,25,0.743163672,0,6097,1/6/2024 9:00,ConsumerDurables,MainBranch,FALSE,FALSE
13,424871,0.680403156,19,Online,37,0.104333489,1,207480,1/1/2024 3:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
